post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
150250105.all-about-psychology-newsletter-1e6,2024-10-15T12:28:23.055Z,true,2024-10-15T12:28:23.336Z,2024-10-15T12:28:23.336Z,newsletter,everyone,All About Psychology Newsletter,"Why We Love Big, Blood-Curdling Screams. You May Be A Little Smug and You Like Gravy. Pathological: The True Story of Six Misdiagnoses. The Hungry Judge Effect.",
150168582.interview-with-professor-brian-little,2024-10-13T11:43:20.457Z,true,2024-10-13T11:43:20.700Z,2024-10-13T11:43:20.700Z,newsletter,everyone,Interview With Professor Brian Little,Renowned expert in the field of personality assessment and motivation,
150087863.goosebumps-earworms-and-the-power,2024-10-11T12:27:30.807Z,true,2024-10-11T12:27:30.966Z,2024-10-11T12:27:30.966Z,newsletter,everyone,"Goosebumps, Earworms and the Power of Music",,
150008789.psychology-that-makes-you-laughand,2024-10-09T17:28:43.807Z,true,2024-10-09T17:28:44.284Z,2024-10-09T17:28:44.284Z,newsletter,everyone,Psychology That Makes You Laugh...and Then Makes You Think!,,
149914332.all-about-psychology-newsletter-b3b,2024-10-07T13:58:58.244Z,true,2024-10-07T13:58:58.458Z,2024-10-07T13:58:58.458Z,newsletter,everyone,All About Psychology Newsletter,Revisiting Milgram’s Shocking Obedience Experiments. The Spotlight Effect. Why Psychosis Is Not So Crazy. What Is Solastalgia?,
149816854.psychopathic-rulers,2024-10-04T18:45:53.545Z,true,2024-10-04T18:45:53.797Z,2024-10-04T18:45:53.797Z,newsletter,everyone,Psychopathic Rulers,What Has Been Will Be Again,
149748878.the-old-woman-young-woman-illusion,2024-10-03T10:46:29.101Z,true,2024-10-03T10:46:29.352Z,2024-10-03T10:46:29.352Z,newsletter,everyone,The Old Woman Young Woman Illusion,Who did you see first?,
149602923.all-about-psychology-newsletter-d36,2024-09-30T17:54:28.611Z,true,2024-09-30T17:54:29.233Z,2024-09-30T17:54:29.233Z,newsletter,everyone,All About Psychology Newsletter,What’s Your Chronotype? Old School Psychology Homework. Pearls Before Breakfast. Being A People Pleaser.,
149526423.q-and-a-with-todd-b-kashdan-phd,2024-10-01T12:26:09.988Z,true,2024-10-01T12:26:10.327Z,2024-10-01T12:26:10.327Z,newsletter,everyone,"Q&A with Todd B. Kashdan, Ph.D.","Had the pleasure of interviewing Dr. Todd Kashdan, a world renowned expert in well-being, curiosity, psychological flexibility, and resilience.",
149486846.i-can-read-you-like-a-book,2024-09-27T13:12:52.724Z,true,2024-09-27T13:12:53.074Z,2024-09-27T13:12:53.074Z,newsletter,only_paid,I Can Read You Like A Book,,
